id,id_index,kode_provinsi,nama_provinsi,periode_update,kab_kota,nama_ruas_jalan,kategori,jumlah,satuan,tahun
431,4308,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),LEBAR JALAN MEMENUHI,8.26,KM,2025
431,4309,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),LEBAR JALAN TIDAK MEMENUHI,0.0,KM,2025
431,4310,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),PANJANG JALAN,8.26,KM,2025
432,4311,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,BANGUNAN PELENGKAP,0.0,KM,2025
432,4312,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,KELANDAIAN MEMENUHI,0.0,KM,2025
432,4313,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
432,4314,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,LEBAR BAHU KANAN MEMENUHI,24.07,KM,2025
432,4315,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,LEBAR BAHU KANAN TIDAK MEMENUHI,0.0,KM,2025
432,4316,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,LEBAR BAHU KIRI MEMENUHI,24.07,KM,2025
432,4317,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
432,4318,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,LEBAR JALAN MEMENUHI,24.07,KM,2025
432,4319,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,LEBAR JALAN TIDAK MEMENUHI,0.0,KM,2025
432,4320,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,DENGOK - BTS. KAB. PACITAN,PANJANG JALAN,24.07,KM,2025
433,4321,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),BANGUNAN PELENGKAP,0.0,KM,2025
433,4322,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),KELANDAIAN MEMENUHI,0.0,KM,2025
433,4323,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
433,4324,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),LEBAR BAHU KANAN MEMENUHI,15.87,KM,2025
433,4325,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),LEBAR BAHU KANAN TIDAK MEMENUHI,0.0,KM,2025
433,4326,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),LEBAR BAHU KIRI MEMENUHI,15.87,KM,2025
433,4327,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
433,4328,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),LEBAR JALAN MEMENUHI,15.87,KM,2025
433,4329,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),LEBAR JALAN TIDAK MEMENUHI,0.0,KM,2025
433,4330,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,BTS. KOTA PONOROGO - BITING (BTS. PROV. JATENG),PANJANG JALAN,15.87,KM,2025
434,4331,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,BANGUNAN PELENGKAP,0.0,KM,2025
434,4332,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,KELANDAIAN MEMENUHI,0.0,KM,2025
434,4333,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
434,4334,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,LEBAR BAHU KANAN MEMENUHI,2.11,KM,2025
434,4335,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,LEBAR BAHU KANAN TIDAK MEMENUHI,0.3,KM,2025
434,4336,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,LEBAR BAHU KIRI MEMENUHI,2.11,KM,2025
434,4337,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,LEBAR BAHU KIRI TIDAK MEMENUHI,0.3,KM,2025
434,4338,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,LEBAR JALAN MEMENUHI,2.41,KM,2025
434,4339,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,LEBAR JALAN TIDAK MEMENUHI,0.0,KM,2025
434,4340,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. HAYAM WURUK,PANJANG JALAN,2.41,KM,2025
435,4341,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,BANGUNAN PELENGKAP,0.0,KM,2025
435,4342,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,KELANDAIAN MEMENUHI,0.0,KM,2025
435,4343,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
435,4344,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,LEBAR BAHU KANAN MEMENUHI,0.11,KM,2025
435,4345,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,LEBAR BAHU KANAN TIDAK MEMENUHI,1.2,KM,2025
435,4346,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,LEBAR BAHU KIRI MEMENUHI,0.21,KM,2025
435,4347,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,LEBAR BAHU KIRI TIDAK MEMENUHI,1.1,KM,2025
435,4348,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,LEBAR JALAN MEMENUHI,1.31,KM,2025
435,4349,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,LEBAR JALAN TIDAK MEMENUHI,0.0,KM,2025
435,4350,35,JAWA TIMUR,2025,KABUPATEN PONOROGO,JLN. TRUNOJOYO,PANJANG JALAN,1.31,KM,2025
436,4351,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,BANGUNAN PELENGKAP,0.0,KM,2025
436,4352,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,KELANDAIAN MEMENUHI,0.0,KM,2025
436,4353,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
436,4354,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,LEBAR BAHU KANAN MEMENUHI,30.0,KM,2025
436,4355,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,LEBAR BAHU KANAN TIDAK MEMENUHI,0.0,KM,2025
436,4356,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,LEBAR BAHU KIRI MEMENUHI,30.0,KM,2025
436,4357,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
436,4358,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,LEBAR JALAN MEMENUHI,1.7,KM,2025
436,4359,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,LEBAR JALAN TIDAK MEMENUHI,28.3,KM,2025
436,4360,35,JAWA TIMUR,2025,KABUPATEN TRENGGALEK,DURENAN - PRIGI,PANJANG JALAN,30.0,KM,2025
437,4361,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,BANGUNAN PELENGKAP,0.0,KM,2025
437,4362,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,KELANDAIAN MEMENUHI,0.0,KM,2025
437,4363,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
437,4364,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,LEBAR BAHU KANAN MEMENUHI,8.86,KM,2025
437,4365,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,LEBAR BAHU KANAN TIDAK MEMENUHI,0.7,KM,2025
437,4366,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,LEBAR BAHU KIRI MEMENUHI,9.56,KM,2025
437,4367,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
437,4368,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,LEBAR JALAN MEMENUHI,0.4,KM,2025
437,4369,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,LEBAR JALAN TIDAK MEMENUHI,9.16,KM,2025
437,4370,35,JAWA TIMUR,2025,KABUPATEN TULUNGAGUNG,NGANTRU - BTS. KAB. BLITAR,PANJANG JALAN,9.56,KM,2025
438,4371,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,BANGUNAN PELENGKAP,0.0,KM,2025
438,4372,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,KELANDAIAN MEMENUHI,0.0,KM,2025
438,4373,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
438,4374,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,LEBAR BAHU KANAN MEMENUHI,8.11,KM,2025
438,4375,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,LEBAR BAHU KANAN TIDAK MEMENUHI,0.0,KM,2025
